Feature ID,Feature Name,Area / Module,Source File(s),Route / Screen / Command / Entry Point,User Type,User Story,Expected Behaviour,Actual Behaviour,Status,Test Type,Test Steps,Test Result,Error / Bug Found,Severity,Fix Required,Fix Implemented,Files Changed,Commit Hash,Retest Steps,Retest Result,Final Status,Product Decision Needed,Notes,Original Prompt
"F-001","Primary Membership CTA","Hero / Conversion","index.html","Hero primary CTA button","Visitor","As a prospective member, I want a clear primary CTA so that I can start the membership flow.","Primary CTA should link to DeltaSignal Alpha in a new tab and present the main conversion path.","Code inspection shows a primary CTA with href https://deltasignal.substack.com, target=_blank, rel=noreferrer, and copy Join DeltaSignal Alpha.","Verified","Code inspection","Inspect hero CTA markup and confirm href, target, rel, and visible label in index.html.","Pass - primary CTA target and label match the intended membership conversion path.","","None","No","","index.html","6c1f392","No retest required; tracker updated after implementation commit.","Not applicable","Verified","No","Evidence from index.html lines 482-483.","use /goal go over every single feature and create a user story with expected behaviour based on the code keep a single canonical spreadsheet tracking the features status when done switch loop to testing every user story and documenting all errors when done fix every logistical error or ux error test every user behaviour again post fix"
"F-002","Private Repo Destination CTA","Hero / Conversion","index.html","Hero secondary CTA button","Visitor","As a prospective member, I want a repo-destination CTA so that I understand where private access leads.","Secondary CTA should point to the private ATLAS-7 GitHub repo in a new tab and frame it as the private destination.","Code inspection shows a secondary CTA with href https://github.com/aitrailblazer/ATLAS-7, target=_blank, rel=noreferrer, and copy Private Repo Destination.","Verified","Code inspection","Inspect secondary CTA markup and confirm href, target, rel, and visible label in index.html.","Pass - secondary CTA target and label match the private repo teaser intent.","","None","No","","index.html","6c1f392","No retest required; tracker updated after implementation commit.","Not applicable","Verified","No","Evidence from index.html lines 482-483.","use /goal go over every single feature and create a user story with expected behaviour based on the code keep a single canonical spreadsheet tracking the features status when done switch loop to testing every user story and documenting all errors when done fix every logistical error or ux error test every user behaviour again post fix"
"F-003","Hero Utility Links","Hero / Navigation","index.html","Hero top-right pill links","Visitor","As a visitor, I want quick context links so that I can inspect the public ATLAS Codex page and the public changelog without losing the landing page framing.","The hero utility row should include a link to the ATLAS Codex public page and a direct link to the public changelog file.","Code inspection shows pill links to https://aitrailblazer.github.io/deltasignal-atlas-codex-plugin/ and CHANGELOG.md, both opening in a new tab with rel=noreferrer.","Verified","Code inspection","Inspect the hero top link row and confirm both pill links, their targets, and their labels.","Pass - both utility links are present and aligned with the front-page navigation intent.","","None","No","","index.html","6c1f392","No retest required; tracker updated after implementation commit.","Not applicable","Verified","No","Evidence from index.html lines 462-463.","use /goal go over every single feature and create a user story with expected behaviour based on the code keep a single canonical spreadsheet tracking the features status when done switch loop to testing every user story and documenting all errors when done fix every logistical error or ux error test every user behaviour again post fix"
"F-004","Hero Visual Stage","Hero / Media","index.html, cover.png","Hero background art and overlay","Visitor","As a visitor, I want the hero to feel visually substantial so that the public page signals the quality and tone of the private materials.","The hero should use the private playbook cover art as a background with layered dark overlays and ATLAS-style accent treatment.","Code inspection shows the hero background uses ./cover.png with additional gradients, scan-line overlays, and orange-to-magenta accent lighting.","Verified","Code inspection","Inspect hero CSS for background image usage, overlays, and layered visual treatment. Confirm cover.png exists in the repo.","Pass - hero uses the cover asset as a staged background and the asset exists in the repo.","","None","No","","index.html, cover.png","6c1f392","No retest required; tracker updated after implementation commit.","Not applicable","Verified","No","Evidence from index.html lines 80-115 and cover.png presence.","use /goal go over every single feature and create a user story with expected behaviour based on the code keep a single canonical spreadsheet tracking the features status when done switch loop to testing every user story and documenting all errors when done fix every logistical error or ux error test every user behaviour again post fix"
"F-005","Value Proposition Card Grid","Marketing Content","index.html","Three-card marketing grid","Visitor","As a visitor, I want a concise breakdown of what ATLAS-7 offers so that I can quickly judge whether the private repo is relevant to me.","The page should present three cards covering value, audience, and access path with supporting bullet lists.","Code inspection shows a three-card grid with sections What You Get, Who It Is For, and Access Path, each containing supporting copy and bullet lists.","Verified","Code inspection","Inspect the card grid and confirm all three marketing sections and lists are present in index.html.","Pass - all three cards and their supporting lists are defined in code.","","None","No","","index.html","6c1f392","No retest required; tracker updated after implementation commit.","Not applicable","Verified","No","Evidence from index.html lines 508-548.","use /goal go over every single feature and create a user story with expected behaviour based on the code keep a single canonical spreadsheet tracking the features status when done switch loop to testing every user story and documenting all errors when done fix every logistical error or ux error test every user behaviour again post fix"
"F-006","Private Access Panels","Marketing Content","index.html","How the repo unlock works and Current Private Areas panels","Visitor","As a visitor, I want to understand both how access works and what is currently inside so that the public page feels concrete rather than vague.","The lower content area should explain the GitHub access path and disclose the current private repo content categories without exposing private material.","Code inspection shows panels titled How the repo unlock works and Current Private Areas with access steps and private repo section listings.","Verified","Code inspection","Inspect the lower left stack panels and confirm the access-flow list and private-area list are present.","Pass - both panels are present and match the public-to-private teaser pattern.","","None","No","","index.html","6c1f392","No retest required; tracker updated after implementation commit.","Not applicable","Verified","No","Evidence from index.html lines 551-572.","use /goal go over every single feature and create a user story with expected behaviour based on the code keep a single canonical spreadsheet tracking the features status when done switch loop to testing every user story and documenting all errors when done fix every logistical error or ux error test every user behaviour again post fix"
"F-007","Public Changelog File","Public Documentation","README.md, CHANGELOG.md, index.html","README changelog section and direct changelog file","Visitor","As a visitor, I want a public changelog file so that I can review public-facing updates without needing private repo access.","The public repo should expose a dedicated CHANGELOG.md file and reference it from the README and front page.","Code inspection shows CHANGELOG.md exists, README includes a Public Changelog section linking to it, and the front page includes direct changelog links.","Verified","Code inspection","Confirm CHANGELOG.md exists, inspect README for the changelog reference, and inspect index.html for changelog links.","Pass - dedicated changelog file and cross-links are present in the repo.","","None","No","","README.md, CHANGELOG.md, index.html","6c1f392","No retest required; tracker updated after implementation commit.","Not applicable","Verified","No","Evidence from README.md lines 7-9, CHANGELOG.md, and index.html lines 463 and 588.","use /goal go over every single feature and create a user story with expected behaviour based on the code keep a single canonical spreadsheet tracking the features status when done switch loop to testing every user story and documenting all errors when done fix every logistical error or ux error test every user behaviour again post fix"
"F-008","Recent Changes Timeline","Public Documentation / Timeline","index.html, CHANGELOG.md","Public Changelog panel","Visitor","As a visitor, I want to see recent public changes on the landing page so that I can tell the repo is alive without leaving the front page.","The front page should include a recent-changes panel populated from visible changelog-style entries and link to the full public changelog.","Code inspection shows a Public Changelog panel with a Recent changes heading, rendered entries from changelogEntries, and a footer link to CHANGELOG.md.","Verified","Code inspection","Inspect the changelogEntries array and the Public Changelog panel rendering in index.html.","Pass - visible recent-changes timeline and full-file link are both present in code.","","None","No","","index.html, CHANGELOG.md","6c1f392","No retest required; tracker updated after implementation commit.","Not applicable","Verified","No","Evidence from index.html lines 40-56 and 575-588.","use /goal go over every single feature and create a user story with expected behaviour based on the code keep a single canonical spreadsheet tracking the features status when done switch loop to testing every user story and documenting all errors when done fix every logistical error or ux error test every user behaviour again post fix"
"F-009","Responsive Layout Collapse","Layout / Responsiveness","index.html","Hero, content grid, and mobile stack media queries","Mobile visitor","As a mobile visitor, I want the public landing page layout to collapse cleanly so that the page remains readable on smaller screens.","At narrower widths, the hero layout, section grid, and card grid should switch to one-column layout, and tighter spacing should apply at mobile widths.","Code inspection shows a breakpoint at max-width 980px collapsing hero-layout, section-grid, and card-grid to one column, plus a max-width 760px breakpoint tightening padding and header arrangement.","Verified","Code inspection","Inspect responsive CSS rules in index.html and confirm the relevant layout-collapse breakpoints are present.","Pass - responsive layout-collapse rules are present in code; no browser screenshot verification performed in this pass.","","None","No","","index.html","6c1f392","No retest required; tracker updated after implementation commit.","Not applicable","Verified","No","Evidence from index.html lines 405-427. Verified by code inspection only.","use /goal go over every single feature and create a user story with expected behaviour based on the code keep a single canonical spreadsheet tracking the features status when done switch loop to testing every user story and documenting all errors when done fix every logistical error or ux error test every user behaviour again post fix"
"F-010","Public Tracker And Report Outputs","Repo Deliverable","README.md, feature_status_tracker.csv, feature_status_tracker.xlsx, feature_qa_report.md","Repo root tracker artifacts","Repo operator","As a repo operator, I want the QA skill to leave tracker, workbook, and final report outputs in the audited repo so that the repo contains the full audit artifact set.","The audited repo should contain feature_status_tracker.csv as the source of truth, feature_status_tracker.xlsx as the workbook view, and feature_qa_report.md as the final summary, with README documenting those outputs.","Code inspection confirms feature_status_tracker.xlsx and feature_qa_report.md exist at repo root and README includes a Public Tracker Outputs section listing the audit artifacts.","Verified","Code inspection","Confirm feature_status_tracker.xlsx and feature_qa_report.md exist at the repo root and inspect README.md for the tracker outputs section.","Pass - workbook and report artifacts exist and the README exposes the audit outputs.","","None","No","","README.md, feature_status_tracker.csv, feature_status_tracker.xlsx, feature_qa_report.md","e2fa4c7","Regenerate workbook and report after tracker update and confirm the dashboard plus report parse cleanly.","Pass - workbook regenerated from the updated tracker with no formula errors and the final report regenerated cleanly from the CSV.","Verified","No","Workbook and report were generated by the repo skill tooling against the public repo root.","use /goal go over every single feature and create a user story with expected behaviour based on the code keep a single canonical spreadsheet tracking the features status when done switch loop to testing every user story and documenting all errors when done fix every logistical error or ux error test every user behaviour again post fix"
